"organid"	"aids"	"pitch"	"temperature"	"range1"	"range2"	"windSys"	"windPres"	"consoleLoc"
"Part15_052Valkenburg"	"koppelingen Swell to Great, Swell Sub Octave, Great to Pedal, Swell to Pedal
vier vaste combinaties
tremulant Swell
balanstrede Swell"	"a1 = 449 Hz"	"evenredig zwevend"	"C-a3"	"C-f1"	"magazijnbalg (1895)"	"84 mm"	"voorzijde"
"Part15_073Beuningen"	"koppelingen HW-NW, HW-NW 4', NW 16', Ped-HW, Ped-NW
inch Aut. Ped - opl
vaste combinaties pp, p, f, ff, t - opl
tongreg uit - opl
tremolo NW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met twee schepbalgen en balanstrede (1904), regulateur Pos/Ped (1929)"	"HW 92 mm, Ped en Pos niet gemeten"	"vrijstaande speeltafel"
"Part15_015Sittard"	"koppelingen I+II, I+II 16', I+II 4', Ped+I, Ped+II, Ped+II 4'
vaste combinaties P MF F Tutti
aut. pedaal
vrije combinatie
tongwerken af
tremolo ZwW
trede zwelkast"	"a1 = 437 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met dubbele vouw en schepbalg met voetpomp, regulateur met enkele vouw voor ZwW"	"100 mm"	"vrijstaande speeltafel?"
"Part15_006Bennekom"	""	"a1 = 415 Hz"	"evenredig zwevend"	"C-d3"	"C-f"	"spaanbalg met schepbalg (1762)"	".. mm"	"voorzijde"
"Part15_079UtrechtNieuweKerk"	"koppelingen HW-BW, Ped-HW, Ped-BW, tremulant BW
trede zwelkast
ventiel"	"a1 = 4.. Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"twee onderling verbonden magazijnbalgen"	"... mm"	"rechterzijde"
"Part15_143OudeTongeRK"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulo"	"a1 = 443 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"beweegbare ladebodems"	"HW en RP 50 mm, Ped 55 mm"	"vrijstaande speeltafel tussen HW en RP"
"Part15_140AmsterdamKoningskerk"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulant RP (buiten werking)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"beweegbare ladebodems"	"HW 71 mm, RP 75 mm, Ped 72 mm"	"voorzijde hoofdkas"
"Part15_045Vorden"	"koppelingen HW-Pos, Ped-HW, Ped-Pos"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met één schepbalg"	"73 mm"	"voorzijde"
"Part15_027Oudenbosch"	"ventiel
windwijzer"	"niet meetbaar"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg"	"niet meetbaar"	"voorzijde"
"Part15_072HaarlemSchalkwijk"	"Koppelingen HW-ZwW, Ped-HW, Ped-ZwW
vier vaste combinaties, oplosser
trede zwelkast"	"a1 = 438 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en één regulateur"	"84 mm"	"vrijstaande speeltafel"
"Part15_152Lieshout"	"koppelingen HW-BoW, Ped-HW, Ped-BoW
tremulant BoW
wind"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg en inliggende balgen onder de laden"	"HW 75 mm, BoW 64 mm, Ped 80 mm"	"voorzijde"
"Part15_083Elden"	"pedaalkoppel
ventiel
vaste combinaties: P-F-Oplosser"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen met basculetrede"	"niet gemeten"	"rechterzijde"
"Part15_123RotterdamNoorse"	"koppelingen HW-Pos, Ped-HW, Ped-Pos
automatische pedaalomschakeling
tremulant HW, tremulant Pos"	"a1 = 440 Hz"	"gelijkzwevend"	"C-g3"	"C-f1"	"ventilator en regulateurbalgen"	".. mm"	"vrijstaande speeltafel"
"Part15_008Ternaard"	""	""	""	""	""	""	""	""
"Part15_057Ulft"	"koppelingen I-II, Ped-I, Ped-II"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en twee regulateurs (1897)"	"82 mm"	"vrijstaande speeltafel"
"Part15_037Waddinxveen"	"pedaalkoppel, tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met handpomp"	"72 mm"	"linkerzijde"
"Part15_153Aalten"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulant"	"a1 = 443 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg"	"62 mm"	"voorzijde hoofdkas"
"Part15_032Oudewaterkoororgel"	"koppelingen Swell to Great, Great to Pedal, Swell to Pedal
trigger Swell
tremulant Swell"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg (2008)"	"75 mm"	"voorzijde"
"Part15_031Wilnis"	"koppelingen Swell to Great, Great to Pedal, Swell to Pedal
drie vaste combinaties
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg met handpomp (ca 1860)"	"67 mm"	"voorzijde"
"Part15_108AmsterdamAgneskerk"	"koppelingen I-II, I-II sub, I-II super, I-III, II-III, II-III super, Ped-I, Ped-II, Ped-III, Ped super
automatisch pedaal
vaste combinaties PP-P-MF-F-FF-Tutti (Oplossers)
generaal crescendo
10 vrije combinaties (buiten gebruik)
oplossers
afsluiters III, IV, tongwerken af, vulstemmen af
treden zwelkast II, zwelkast III, generaal crescendo
tremulanten Man II, Man III, Man IV"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c4"	"C-f1"	"Vier balgen, waarvan één hoge druk en één regulateur (Man I)"	"Niet vast te stellen"	"vrijstaande speeltafel in nis links van de abscis op dezelfde hoogte als het orgel"
"Part15_005Kedichem"	"tremulant
afsluiting"	"a1 = 415 Hz"	"evenredig zwevend"	"C-c3"	"C-a"	"meervouwige spaanbalg met schepbalg"	"58 mm"	"voorzijde"
"Part15_070Silvolde"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	""	"niet gemeten"	"rechterzijde"
"Part15_130Venlo"	"koppelingen I-II, I-III, II-III, I-III 16', I-III 4', Ped-I, Ped-II, Ped-III, Ped-III 4' (tevens als pistons)
drie vrije combinaties die van invloed zijn op alle werken, uitgevoerd als pistons
drie vrije combinaties, op te roepen per werk, uitgevoerd als drukknoppen in de klavierlijsten
prestantenplena, op te roepen per werk
nulsteller voor I, II, en III
nulsteller voor alle registers gelijktijdig
tremolo II, termolo III
trede zwelkast III"	"a1 = 432 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg en vier regulateurs"	"80 mm voor alle werken"	"vrijstaande speeltafel"
"Part15_054Urmond"	""	"a1 = 439 Hz"	"evenredig zwevend"	"C-g3"	"C-f"	"magazijnbalg met dubbele vouw en trapinstallatie"	"75 mm"	"linkerzijde"
"Part15_118Pernis"	"koppelingen HW-ZwW, HW-ZwW Sub, HW-ZwW Super, Ped-HW, Ped-ZwW
drukknoppen: aut ped omsch met oplosser
vaste combinaties P-MF-F-T, vrije combinatie, oplosser
tongwerk afsteller met oplosser
generaalcrescendo (basculetrede) met oplosser en schaalaanwijzer
balanstrede ZwW
tremulant ZwW"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3, lade ZwW C-g4"	"C-f1"	"magazijnbalg met regulateur"	"HW en Ped 85 mm, ZwW 70 mm"	"vrijstaande speeltafel op de tegenoverliggende galerij"
"Part15_112RotterdamOranjekerk"	"koppelingen HW-ZwW, Ped-HW, Ped-ZwW, HW- ZwW super, HW super, ZwW super
tremulant ZwW
drukknoppen: generaal crescendo, oplosser, automatisch pianopedaal, oplosser
voltmeter, predikantlicht
schaalaanwijzer generaalcrescendo
basculetrede generaalcrescendo
basculetrede ZwW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3, lade ZwW C-g4"	"C-f1"	"regulateurbalgen voor HW/Ped en ZwW met schokbalg voor Ped"	"HW en Ped 92 mm, ZwW 80 mm"	"vrijstaande speeltafel rechts op de galerij"
"Part15_116NaardenKoororgel"	"koppelingen P+I, P+II, I+II, I+II sub
twee vrije combinaties
tutti"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg en beweegbare ladebodems"	"mm"	"vrije speeltafel beneden in de kerk"
"Part15_063Pijnacker"	"koppelingen HW-Pos, Ped-HW, Ped-Pos (uitgevoerd als treden)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg met regulateur (1899)"	"HW en Ped 91 mm, Pos 97 mm"	"vrijstaande speeltafel midden voor het orgel"
"Part15_093AmsterdamOrgelpark"	"(tuimelaars)
I-P, II-P, II-I, Sub II-I, Super II-I, Super P
Tremulant
drukknoppen
Automatisches Pianopedal, Freie Kombination, Piano, Mezzoforte, Forte, Tutti, Auslöser
treden
II-P, I-P, Walze ab"	"a1 = 442 Hz"	"evenredig zwevend"	"C-g3, Man II uitgebouwd tot g4 behalve Harmonia Aetherea"	"C-f1"	"twee magazijnbalgen, regulateur Man II"	"Man I en Ped 97 mm, Man II 92 mm"	"vrijstaande speeltafel in de kansel onder het orgel"
"Part15_157Oosterwolde"	"klavierkoppel, Ped-HW, Ped-RP (alle koppelingen als treden)
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"beweegbare ladebodems"	"64 mm"	"voorzijde hoofdkas"
"Part15_061Gouderak"	"ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg (1899) met twee schepbalgen"	"75 mm"	"rechterzijde"
"Part15_018RotterdamAndreaskerk"	"tremulant
vintiel
piano/forte-trede
windzicht"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	""	"magazijnbalg met één schepbalg (1818)"	"48 mm"	"voorzijde"
"Part15_038Voorschoten"	"manuaalkoppel B/D
pedaalkoppel
tremulant"	"a1 = 438 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg (1876) met stotenbreker (2009)"	"76 mm"	"vrijstaande speeltafel"
"Part15_050Ulrum"	"koppelingen I-II, Ped-I, Ped-II
tremulant HW"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg"	"74 mm"	"linkerzijde"
"Part15_139Heerenveen"	"koppelingen I-II, Ped-I, Ped-II
tremulant RP"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"magazijnbalg (1959)"	"90 mm"	"voorzijde hoofdkas"
"Part15_132Venray"	"koppelingen I-II, I-III, II-III, I-II 16', Ped-I, Ped-II, Ped-III; Ped-III 4'
automatische pedaalomschakeling II en III met elk vier vrije versterkingen
vaste combinaties P-MF-F-Tutti
zetknop-combinatie met vier vrije combinaties
oplosser voor alle handregisters
oplosser voor alle vaste combinaties en generaal crescendo
tongwerk af
trede generaal crescendo
trede zwelkast III
pistons voor koppelingen I-II, I-III, II-III, Ped-I, Ped-II en Ped-III
piston voor generaal tutti"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"drie ventilatoren voor HW/Ped, Pos en ZwW; zeven regulateurs met enkele vouw"	"Ped en HW 85 mm, Pos en ZwW 80 mm"	"vrijstaande speeltafel"
"Part15_091Munnekezijl"	"pedaalkoppel, suboktaafkoppel, superoktaafkoppel (tuimelaars)
vaste combinaties P-M-F-T
tremolo"	"a1 = 435 Hz"	"Evenredig zwevend"	"C-f3"	"C-d1"	"zakbalg"	"87 mm"	"linkerzijde, met ombouw als organistenkamertje"
"Part15_053Maasland"	"manuaalkoppel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"magazijnbalg met in- en uitspringende vouw (1896)"	"80 mm"	"linkerzijde"
"Part15_059Kamerik"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulant RP"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"twee regulateurs"	"75 mm"	"voorzijde hoofdkas"
"Part15_113Blaricum"	"koppelingen Ped-HW, Ped-ZwW, HW-ZwW, HW-ZwW sub, ZwW-ZwW sub
tremolo (ZwW)
Aut. piano pedaal-Oplosser, P-MF-F-Volle werk-Oplosser
vrije combinatie, Handregisters aan, Oplosser
tongwerken afsluiter als trede
basculetrede ZwW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg (regulateur HW en Ped), zakbalg (regulateur ZwW)"	"76 mm (Ped en HW), mm (ZwW)"	"vrijstaande speeltafel, midden voor aan de voorzijde"
"Part15_142GravendeelHerv"	"koppelingen HW-BoW, Ped-HW, Ped-BoW
tremulant BoW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"regulateurbalgen HW/Ped en BoW"	"HW en Ped 68 mm, BoW 64 mm"	"voorzijde"
"Part15_144IJmuidenHNK"	"koppelingen I-II, I-III, II-III, Ped-I, Ped-II, Ped-III
tremulant Man II en Man III
muette"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"vier kleine staande magazijnbalgen"	"Man I, Ped 78 mm, Man II en III 80 mm"	"voorzijde hoofdkas"
"Part15_097HilversumClemens"	"koppelingen P+I, P+II, I+II, I+II sub, I+II super, II+II super
tremolo Man II
generaal crescendo (rol), afsluiter handregisters, afsluiter crescendo
automatisch pianopedaal
vaste combinaties MF-F-Tutti"	"a1 = 438 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"windmotor, magazijnbalg met in- en uitspringende vouw met schepbalg"	"niet meetbaar"	"vrijstaande speeltafel midden voor het orgel (zicht op priesterkoor)"
"Part15_076Lutjegast"	"windlosser"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-a"	"magazijnbalg met twee schepbalgen en handpomp (1911)"	"85 mm"	"rechterzijde"
"Part15_043Liempde"	"koppelingen I-I 4', I-II, I-II 16', Ped-I, Ped-II
vaste combinaties PP P MF F Tutti, Vrijstelling
Pianopedaal, Vrijstelling"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg en twee regulateurs"	"Man I 72 mm, Man II 77 mm, Ped 88 mm"	"vrijstaande speeltafel midden voor de kas, organist met de rug naar het orgel"
"Part15_081Leek"	"windlosser
nihil"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-a"	"enkelvouwige magazijnbalg met twee schepbalgen en handpomp (1914)"	".. mm"	"linkerzijde"
"Part15_137KlundertHerv"	"koppelingen (als treden) HW-RP, Ped-HW, Ped-RP"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"hoofdschwimmerbalg met regulateurschwimmerbalg voor RP en beweegbare ladebodems"	"HW en Ped 64 mm, RP 54 mm"	"voorzijde hoofdkas"
"Part15_084Hansweert"	"koppel Ped-Man
fortissimo
tremulant
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met twee schepbalgen en één regulateur"	"100 mm"	"rechterzijde"
"Part15_021AlphenaandenRijn"	"koppelingen HW-BW, Ped-HW, Ped-BW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg met in- en uitspringende vouw"	"65 mm"	"rechterzijde"
"Part15_145Moerdijk"	"koppelingen HW-RP, HW-BoW, Ped-HW, Ped-RP, Ped-BoW
tremulant RP, tremulant BoW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met inliggende zwembalgen onder tegen de laden"	"HW 61 mm, RP 57 mm, BoW 52 mm, Ped 64 mm"	"voorzijde hoofdkas"
"Part15_066Oud-Loosdrecht"	"ventiel (= tremulant)"	"a1 = 433 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen (1902)"	"71 mm"	"rechterzijde"
"Part15_074Meerssen"	"koppelingen I-II, III-II, III-I, IV-II, IV-III, Ped-I, Ped-II, Ped-III
tremulant RP, tremulant ZwW
Nachtigall
trede zwelkast III
trede zwelkast IV"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"beweegbare ladebodems"	"RP 60 mm, HW 65 mm, ZwW 80 mm, Ped 90 mm"	"voorzijde hoofdkas"
"Part15_103Gulpen"	"koppelingen I-II, I-II 16', I-I 4', Ped-I, Ped-II, Ped-melodiekoppel
vrije combinatie, aut. ped. omschakeling
vaste combinaties p, mf, f, ff, t
oplossers voor aut. ped. omschakeling en vaste combinaties
basculetrede generaal crescendo
basculetrede zwelkast II
trede voor het in- en uitschakelen van het generaal crescendo
trede voor het in- en uitschakelen van de vrije combinaties"	"a1 = 430 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met in- en uitspringende vouw, twee schepbalgen met voetpomp, twee regulateurs met enkele vouw"	"HWen Ped 82 mm, ZwW 83 mm"	"vrijstaande speeltafel"
"Part15_011UtrechtJacobi"	""	"a1 = 415 Hz"	"evenredig zwevend"	"C-d3"	""	"magazijnbalg met één schepbalg (1774)"	"52 mm"	"voorzijde"
"Part15_078Panningen"	"Copula.I.Clavier (a.) Rec.uni (manuaalkoppel), (b.) R.O.G. (Réc Octave Grave, = GO+Rec 16')
Tirasses (a.) G.O (b.) Recit
Trompette
expression"	"a1 = 430 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met een schepbalg (1912)"	"95 mm"	"rechterzijde"
"Part15_024ZwollePlantage"	"koppelingen HW-ZwW, Ped-HW, Ped-ZwW
tremulanten HW, ZwW
trede zwelkast
Samensteling vulstemmen
Cornet HW   c1   4 - 2 2/3 - 2 - 1 3/5"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"drie spaanbalgen (1866)"	"HW en ZwW 79 mm, Ped 82 mm"	"rechterzijde"
"Part15_146AmsterdamAugustanakerk"	"koppelingen HW-BoW, Ped-HW, Ped-BoW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"vijf staande magazijnbalgen"	"HW en Ped 78 mm, BoW 60 mm"	"voorzijde"
"Part15_117Heythuysen"	"koppelingen Ped-HW, Ped-ZwW, HW-ZwW, HW-HW 4', HW-ZwW 16, ZwW-ZwW 16'
vijf vaste combinaties P-MF-F-FF-TT-Oplosser
vrije combinatie
automatisch pianopedaal - oplosser
tongwerk af - oplosser
trede zwelkast ZwW
pistons generaal crescendo en koppelingen P-I, P-II en I-II
Tremolo ZwW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met drie regulateurs (1939)"	"Ped onderlade 75 mm, overige werken 85 mm"	"vrijstaande speeltafel"
"Part15_125IJmuidenIchtuskerk"	"koppelingen I-II, Ped-I, Ped-II
vaste combinatie P-MF-Tutti
één vrije combinatie
twee oplossers
inschakeling vrij registreren
generaal crescendo (trede)
automatisch pianopedaal
tremulant Man II"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"Magazijnbalg en twee regulateurs"	"Man I 70 mm, Man II 61 mm en Ped 90 mm"	"vrijstaande speeltafel beneden linksvoor in de kerk"
"Part15_082Doesburg"	"Normaalkoppeln (*als knop en trede) I-II*, I-III*, I-IV, II-III*, III-IV, P-I*, P-II*, P-III*, P-IV*
Suboctaafkoppeln I-II, I-III, II-III, IV
Superoctaafkoppeln I-II, I-III, II-III, IV, Ped-II
Melodiekoppeln I-II, II-I, II-III, III-II, III-IV 
Basmelodiekoppeln I-P, II-P, III-P, IV-P
Leerlaufkoppel I
Genaralkoppel (als knop en trede)
13 Auslöser der Koppel aus der Walze
Generalkoppel aus der Walze
Gruppenzüge P, MF, F, Tutti ohne Mixturen und Zungen mit Koppel, Tutti (als knop en trede) samt Koppel, Auslöser (als knop en trede)
Vier freie Combinationen (als knop en trede), Auslöser (als knop en trede)
Automatisch Pianopedal
Frei einst. Pianopedal II, III, IV
Handregsiter ab
Zungen ab 
Mixturen ab
Manual 16’ Stimmen ab
Tremolo II, III, IV
Crescendo ab
Rollschweller samt Zeiger (Generalcresc. und decresc.)
Autom. Rücklaufcresc.
Schwelltritt II, III, IV
Calcant
Windzeiger"	"a1 = 440 Hz"	"evenredig zwevend"	"C-c4 (laden II, III en IV C-c5)"	"C-f1"	"twee reservoirbalgen, zes magazijnbalgen (1916)"	"hoofdbalgen 130 mm, Man I, II, III en IV 90 mm, tongwerken en Syntematophon II 110 mm, Ped 95 mm"	"vrijstaande speeltafel"
"Part15_060Oostelbeers"	"koppeling Ped-Man
vaste combinaties P - F - Tutti"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg (1898) met regulateur"	"80 mm"	"vrijstaande speeltafel tussen beide orgelkassen"
"Part15_115NijmegenNeerbosch"	"koppelingen HW-BW, Ped-HW
tremulant BW
kniezwel
ventiel"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg met twee schepbalgen (1936)"	"80 mm"	"rechterzijde"
"Part15_039Bergschenhoek"	"koppelingen Great-Swell, Pedal-Great, Pedal-Swell
Swell Octave
tremulant Swell"	"a1 = 440 Hz"	"Young"	"C-g3"	"C-f"	"twee magazijnbalgen"	"68 mm"	"voorzijde, achter het loze onderfront"
"Part15_012Stiens"	"schuifkoppel HW-RP
tremulant
windlossing
afsluitingen HW en RP"	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"drie spaanbalgen (1830)"	"74 mm"	"voorzijde hoofdkas"
"Part15_088Kapel-Avezaath"	""	"a1 = 435 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"magazijnbalg met twee schepbalgen en handpomp (1917)"	"80 mm"	"linkerzijde"
"Part15_077Barendrecht"	"koppelingen HW-ZwW, HW-Super, HW-ZwW sub, HW-ZwW super, Ped-HW, Ped-ZwW
tremulant ZwW
drukknoppen: automatisch pianopedaal met oplosser, handregisters in met oplosser
vaste combinaties P-MF-F-Tutti, vrije combinatie, oplosser combinaties en generaalcrescendo
generaalcrescendo, tongwerken af met oplosser
treden: generaal registercrescendo met gedetailleerde schaalaanwijzer in 19 standen
balanstrede ZwW"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-d1"	"magazijnbalg met twee schepbalgen; regulateurbalgen voor Ped/HW en ZwW"	"hoofdbalg 120 mm; regulateurs niet gemeten"	"vrijstaande speeltafel op de galerij"
"Part15_099Kloosterburen"	"koppelingen I+II, I+II 16', II+II 16', P+I, P+II
regelbaar Aut. Ped. (naar keuze met of zonder Gedektbas)
vrije combinatie
vaste combinaties PP, P, MF, F, T
vrije combinatie
twee oplossers: voor de vaste combinaties en voor de vrije combinatie
registerknoppen generaalcrescendo en zwelkast
tremulant II
trede zwelkast Man II
trede generaal crescendo"	"a1 = 435 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met twee schepbalgen en twee regulateurs"	"97 mm wk"	"vrijstaande speeltafel, omgekeerd"
"Part15_055Vrouwenpolder"	"koppelingen HW-NW, Ped-HW, Ped-NW
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"zwemmerbalg"	"60 mm"	"linkerzijde"
"Part15_004Zwartsluis"	"koppelingen HW-RP, Ped-HW, Ped-RP"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"RW en HW beweegbare ladebodems, Ped een zakbalg"	"65 mm"	"voorzijde hoofdkas"
"Part15_013Zundert"	"manuaalkoppel, pedaalkoppel (als treden)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"niet gemeten"	"linkerzijde"
"Part15_119Driebergen"	"koppelingen HW-RP, HW-ZwW, Ped-HW, Ped-ZwW
tremulant ZwW"	"a1 = 441 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met beweegbare ladebodems"	"niet gemeten"	"voorzijde hoofdkas"
"Part15_150AmstelveenPaaskerk"	"koppelingen HW-BoW, Ped-HW, Ped-BoW"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"Beweegbare ladebodems"	"82 mm"	"voorzijde"
"Part15_147LeeuwardenOpstanding"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"vertikaal opgestelde magazijnbalgen met bladveren"	"HW en Ped 60 mm, BoW 55 mm"	"voorzijde"
"Part15_134Randwijk"	"koppelingen HW-RP, Ped-HW, Ped-RP"	"a1 = 437 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"74 mm"	"voorzijde hoofdkas"
"Part15_069SteenwijkBethel"	"tremulant"	"a1 = 437 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg"	"80 mm"	"linkerzijde"
"Part15_124Groenlo"	"koppelingen HW-BoW, Ped-HW (als treden)"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"rolbalg"	"67 mm"	"voorzijde"
"Part15_148OudeTongeHerv"	"koppelingen HW-RP, Ped-HW, Ped-RP
tremulant"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-f1"	"beweegbare ladebodems"	"80 mm"	"voorzijde hoofdkas"
"Part15_048Oudeschild"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-c1"	"regulateur"	"84 mm"	"linkerzijde"
"Part15_122Loenen"	"koppelingen HW-RP, Ped-HW"	"a1 = 4.. Hz"	""	"C-g3"	"C-f1"	"rolbalg met beweegbare ladebodems"	"mm"	"voorzijde hoofdkas"
"Part15_049Hengelo-Beckum"	"s
combinatietrede Prestant 8' en Octaaf 4'
ventiel"	"a1 = 444 Hz"	"evenredig zwevend"	"C-f3"	"C-f"	"magazijnbalg met twee schepbalgen en handpomp (ca 1895)"	"83 mm"	"linkerzijde"
"Part15_016AlkmaarRem"	"afsluiter
tremulant"	"a1 = 450 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"drie spaanbalgen (1792)"	"62 mm"	"achterzijde"
"Part15_101ScheveningenBadkapel"	"koppelingen Ped-I, Ped-II, Ped-III, II-I, II-III, I-III, II-I 16'
vrije combinatie
automatische pedaalomschakelaar
tutti-piston
trede zwelkast Manuaal III
tremulant I, II en III"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"vier regulateurbalgen"	"80 mm"	"rechterzijde"
"Part15_019Vaassen"	"koppelingen HW-OP B/D, Ped-HW, Ped-OP
tremulant OP"	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-d1"	"magazijnbalg (1925)"	"78 mm"	"linkerzijde"
"Part15_128Horst"	"koppelingen I-II, I-III, II-III, II-III, Ped-I, Ped-II, Ped-III, Ped-III 4' (tevens als pistons)
twee vrije combinaties
automatische pedaalomschakeling II met zes vrije versterkingen
automatische pedaalomschakeling III met zes vrije versterkingen
vaste combinaties PP-P-MF-F-FF-Tutti (Tutti tevens als piston)
handregisters af
tremolo
generaal crescendo
oplosser
tongwerk af en aparte knoppen voor het afstellen van de tongwerken
trede zwelkast III
trede generaal crescendo"	"a1 = 440 Hz"	"evenredig zwevend"	"C-g3"	"C-f1"	"magazijnbalg met regulateur en zes rolbalgen"	"HW en Ped 85 mm, Pos en ZwW 80 mm"	"vrijstaande speeltafel"
"Part15_096Bakhuizen"	""	"a1 = 440 Hz"	"evenredig zwevend"	"C-f3"	"C-g"	"twee kleine regulateurs onder de lade"	"73 mm"	"linkerzijde"
